Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/01/2019,AQS,60010011,1,1,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/02/2019,AQS,60010011,1,4,ppb,6,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/03/2019,AQS,60010011,1,1.4,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/04/2019,AQS,60010011,1,2.4,ppb,3,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/05/2019,AQS,60010011,1,0.5,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/06/2019,AQS,60010011,1,0.7,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/07/2019,AQS,60010011,1,0.5,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/08/2019,AQS,60010011,1,0.8,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/09/2019,AQS,60010011,1,0.1,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/10/2019,AQS,60010011,1,1.5,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/11/2019,AQS,60010011,1,1.6,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/12/2019,AQS,60010011,1,0.7,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/13/2019,AQS,60010011,1,0.9,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/14/2019,AQS,60010011,1,0.6,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/15/2019,AQS,60010011,1,0.1,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/16/2019,AQS,60010011,1,0.5,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/17/2019,AQS,60010011,1,0.4,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/18/2019,AQS,60010011,1,0.6,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/19/2019,AQS,60010011,1,1.5,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/20/2019,AQS,60010011,1,0.3,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/21/2019,AQS,60010011,1,0.4,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/22/2019,AQS,60010011,1,0.7,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/23/2019,AQS,60010011,1,3.5,ppb,4,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/24/2019,AQS,60010011,1,4.6,ppb,6,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/25/2019,AQS,60010011,1,5.9,ppb,7,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/26/2019,AQS,60010011,1,1.5,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/27/2019,AQS,60010011,1,2,ppb,3,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/28/2019,AQS,60010011,1,2.4,ppb,3,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/29/2019,AQS,60010011,1,0.5,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/30/2019,AQS,60010011,1,2.8,ppb,3,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
01/31/2019,AQS,60010011,1,0.3,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/01/2019,AQS,60010011,1,0.2,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/02/2019,AQS,60010011,1,0,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/03/2019,AQS,60010011,1,0.2,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/04/2019,AQS,60010011,1,0.1,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/05/2019,AQS,60010011,1,0.9,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/06/2019,AQS,60010011,1,1.3,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/07/2019,AQS,60010011,1,1.8,ppb,1,Oakland West,20,83.0000,42401,Alameda,37.814781,-122.282347
02/08/2019,AQS,60010011,1,0.4,ppb,0,Oakland West,20,83.0000,42401,Alameda,37.814781,-122.282347
02/09/2019,AQS,60010011,1,1.1,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/10/2019,AQS,60010011,1,0.3,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/11/2019,AQS,60010011,1,1.5,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/12/2019,AQS,60010011,1,0.9,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/13/2019,AQS,60010011,1,0.3,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/14/2019,AQS,60010011,1,0,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/15/2019,AQS,60010011,1,0.6,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/16/2019,AQS,60010011,1,0.3,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/17/2019,AQS,60010011,1,0.5,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/18/2019,AQS,60010011,1,1,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/19/2019,AQS,60010011,1,1.9,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/20/2019,AQS,60010011,1,0.4,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/21/2019,AQS,60010011,1,0.4,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/22/2019,AQS,60010011,1,1,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/23/2019,AQS,60010011,1,1.2,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/24/2019,AQS,60010011,1,1.8,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/25/2019,AQS,60010011,1,1.2,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/26/2019,AQS,60010011,1,0,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/27/2019,AQS,60010011,1,0.8,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
02/28/2019,AQS,60010011,1,0.4,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/01/2019,AQS,60010011,1,1.2,ppb,1,Oakland West,19,79.0000,42401,Alameda,37.814781,-122.282347
03/02/2019,AQS,60010011,1,0.4,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/03/2019,AQS,60010011,1,1.3,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/04/2019,AQS,60010011,1,0.2,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/05/2019,AQS,60010011,1,1.3,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/06/2019,AQS,60010011,1,0.1,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/07/2019,AQS,60010011,1,0.6,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/08/2019,AQS,60010011,1,0.4,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/09/2019,AQS,60010011,1,0.4,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/10/2019,AQS,60010011,1,0.4,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/11/2019,AQS,60010011,1,1.9,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/12/2019,AQS,60010011,1,1,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/13/2019,AQS,60010011,1,0.9,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/14/2019,AQS,60010011,1,1.6,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/15/2019,AQS,60010011,1,2.7,ppb,3,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/16/2019,AQS,60010011,1,2.7,ppb,3,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/17/2019,AQS,60010011,1,19.2,ppb,27,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/18/2019,AQS,60010011,1,1.7,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/19/2019,AQS,60010011,1,2.6,ppb,3,Oakland West,21,88.0000,42401,Alameda,37.814781,-122.282347
03/20/2019,AQS,60010011,1,1.5,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/21/2019,AQS,60010011,1,0.8,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/22/2019,AQS,60010011,1,0.2,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/23/2019,AQS,60010011,1,0.8,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/24/2019,AQS,60010011,1,0.8,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/25/2019,AQS,60010011,1,0.6,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/26/2019,AQS,60010011,1,0.5,ppb,0,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
03/27/2019,AQS,60010011,1,1.5,ppb,1,Oakland West,22,92.0000,42401,Alameda,37.814781,-122.282347
